id,compartment,metabolite_dcid,metabolic_compartment_dcid
m02611r,dcs:CellularCompartmentEndoplasmicReticulum,bio/nonadecanoylcarnitine,bio/m02611r
m02612c,dcs:CellularCompartmentCytosol,bio/HMDB0062509,bio/m02612c
m02612m,dcs:CellularCompartmentMitochondria,bio/HMDB0062509,bio/m02612m
m02612r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062509,bio/m02612r
m02613c,dcs:CellularCompartmentCytosol,bio/CHEMBL1169674,bio/m02613c
m02613l,dcs:CellularCompartmentLysosome,bio/CHEMBL1169674,bio/m02613l
m02613r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL1169674,bio/m02613r
m02613s,dcs:CellularCompartmentExtracellular,bio/CHEMBL1169674,bio/m02613s
m02614c,dcs:CellularCompartmentCytosol,bio/CHEMBL108436,bio/m02614c
m02614s,dcs:CellularCompartmentExtracellular,bio/CHEMBL108436,bio/m02614s
m02615c,dcs:CellularCompartmentCytosol,bio/nonanoyl-[ACP],bio/m02615c
m02616c,dcs:CellularCompartmentCytosol,bio/HMDB0013028,bio/m02616c
m02616m,dcs:CellularCompartmentMitochondria,bio/HMDB0013028,bio/m02616m
m02617c,dcs:CellularCompartmentCytosol,bio/CHEMBL1437,bio/m02617c
m02617s,dcs:CellularCompartmentExtracellular,bio/CHEMBL1437,bio/m02617s
m02618c,dcs:CellularCompartmentCytosol,bio/HMDB0013030,bio/m02618c
m02619c,dcs:CellularCompartmentCytosol,bio/HMDB0013029,bio/m02619c
m02620c,dcs:CellularCompartmentCytosol,bio/HMDB0002062,bio/m02620c
m02620s,dcs:CellularCompartmentExtracellular,bio/HMDB0002062,bio/m02620s
m02621c,dcs:CellularCompartmentCytosol,bio/CHEMBL19068,bio/m02621c
m02622c,dcs:CellularCompartmentCytosol,bio/CHEMBL1559460,bio/m02622c
m02623c,dcs:CellularCompartmentCytosol,bio/HMDB0006834,bio/m02623c
m02623m,dcs:CellularCompartmentMitochondria,bio/HMDB0006834,bio/m02623m
m02624c,dcs:CellularCompartmentCytosol,bio/HMDB0060196,bio/m02624c
m02625c,dcs:CellularCompartmentCytosol,bio/MNXM93669,bio/m02625c
m02626c,dcs:CellularCompartmentCytosol,bio/MNXM7575,bio/m02626c
m02627c,dcs:CellularCompartmentCytosol,bio/MNXM6352,bio/m02627c
m02628c,dcs:CellularCompartmentCytosol,bio/MNXM91664,bio/m02628c
m02629c,dcs:CellularCompartmentCytosol,bio/HMDB0011158,bio/m02629c
m02630c,dcs:CellularCompartmentCytosol,bio/CHEMBL1234886,bio/m02630c
m02631c,dcs:CellularCompartmentCytosol,bio/HMDB0002168,bio/m02631c
m02630g,dcs:CellularCompartmentGolgiApparatus,bio/CHEMBL1234886,bio/m02630g
m02630l,dcs:CellularCompartmentLysosome,bio/CHEMBL1234886,bio/m02630l
m02630m,dcs:CellularCompartmentMitochondria,bio/CHEMBL1234886,bio/m02630m
m02631m,dcs:CellularCompartmentMitochondria,bio/HMDB0002168,bio/m02631m
m02630n,dcs:CellularCompartmentNucleus,bio/CHEMBL1234886,bio/m02630n
m02631n,dcs:CellularCompartmentNucleus,bio/HMDB0002168,bio/m02631n
m02630p,dcs:CellularCompartmentPeroxisome,bio/CHEMBL1234886,bio/m02630p
m02631p,dcs:CellularCompartmentPeroxisome,bio/HMDB0002168,bio/m02631p
m02630r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL1234886,bio/m02630r
m02630s,dcs:CellularCompartmentExtracellular,bio/CHEMBL1234886,bio/m02630s
m02631s,dcs:CellularCompartmentExtracellular,bio/HMDB0002168,bio/m02631s
m02632c,dcs:CellularCompartmentCytosol,bio/HMDB0013031,bio/m02632c
m02632n,dcs:CellularCompartmentNucleus,bio/HMDB0013031,bio/m02632n
m02633c,dcs:CellularCompartmentCytosol,bio/CHEMBL1794791,bio/m02633c
m02633m,dcs:CellularCompartmentMitochondria,bio/CHEMBL1794791,bio/m02633m
m02633p,dcs:CellularCompartmentPeroxisome,bio/CHEMBL1794791,bio/m02633p
m02634c,dcs:CellularCompartmentCytosol,bio/CHEMBL1358846,bio/m02634c
