id,compartment,metabolite_dcid,metabolic_compartment_dcid
m00001c,dcs:CellularCompartmentCytosol,bio/CHEMBL1907992,bio/m00001c
m00001s,dcs:CellularCompartmentExtracellular,bio/CHEMBL1907992,bio/m00001s
m00002c,dcs:CellularCompartmentCytosol,bio/CHEMBL442565,bio/m00002c
m00002s,dcs:CellularCompartmentExtracellular,bio/CHEMBL442565,bio/m00002s
m00003c,dcs:CellularCompartmentCytosol,bio/HMDB0060038,bio/m00003c
m00003l,dcs:CellularCompartmentLysosome,bio/HMDB0060038,bio/m00003l
m00003r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0060038,bio/m00003r
m00003s,dcs:CellularCompartmentExtracellular,bio/HMDB0060038,bio/m00003s
m00004c,dcs:CellularCompartmentCytosol,bio/HMDB0062213,bio/m00004c
m00004m,dcs:CellularCompartmentMitochondria,bio/HMDB0062213,bio/m00004m
m00004r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062213,bio/m00004r
m00005c,dcs:CellularCompartmentCytosol,bio/HMDB0004696,bio/m00005c
m00006c,dcs:CellularCompartmentCytosol,bio/(11Z)-docosenoyl-CoA,bio/m00006c
m00006m,dcs:CellularCompartmentMitochondria,bio/(11Z)-docosenoyl-CoA,bio/m00006m
m00006r,dcs:CellularCompartmentEndoplasmicReticulum,bio/(11Z)-docosenoyl-CoA,bio/m00006r
m00007c,dcs:CellularCompartmentCytosol,bio/HMDB0062214,bio/m00007c
m00007m,dcs:CellularCompartmentMitochondria,bio/HMDB0062214,bio/m00007m
m00007p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062214,bio/m00007p
m00007r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062214,bio/m00007r
m00008c,dcs:CellularCompartmentCytosol,bio/CHEMBL464983,bio/m00008c
m00008l,dcs:CellularCompartmentLysosome,bio/CHEMBL464983,bio/m00008l
m00008r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL464983,bio/m00008r
m00008s,dcs:CellularCompartmentExtracellular,bio/CHEMBL464983,bio/m00008s
m00009c,dcs:CellularCompartmentCytosol,bio/HMDB0062215,bio/m00009c
m00009m,dcs:CellularCompartmentMitochondria,bio/HMDB0062215,bio/m00009m
m00009r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062215,bio/m00009r
m00010c,dcs:CellularCompartmentCytosol,bio/CHEMBL453991,bio/m00010c
m00010l,dcs:CellularCompartmentLysosome,bio/CHEMBL453991,bio/m00010l
m00010r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL453991,bio/m00010r
m00010s,dcs:CellularCompartmentExtracellular,bio/CHEMBL453991,bio/m00010s
m00011c,dcs:CellularCompartmentCytosol,bio/(11Z_14Z_17Z)-eicosatrienoylcarnitine,bio/m00011c
m00011m,dcs:CellularCompartmentMitochondria,bio/(11Z_14Z_17Z)-eicosatrienoylcarnitine,bio/m00011m
m00011r,dcs:CellularCompartmentEndoplasmicReticulum,bio/(11Z_14Z_17Z)-eicosatrienoylcarnitine,bio/m00011r
m00012c,dcs:CellularCompartmentCytosol,bio/HMDB0062216,bio/m00012c
m00012m,dcs:CellularCompartmentMitochondria,bio/HMDB0062216,bio/m00012m
m00012r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062216,bio/m00012r
m00013c,dcs:CellularCompartmentCytosol,bio/HMDB0001320,bio/m00013c
m00014p,dcs:CellularCompartmentPeroxisome,bio/HMDB0012575,bio/m00014p
m00015p,dcs:CellularCompartmentPeroxisome,bio/HMDB0012576,bio/m00015p
m00016c,dcs:CellularCompartmentCytosol,bio/HMDB0062217,bio/m00016c
m00016m,dcs:CellularCompartmentMitochondria,bio/HMDB0062217,bio/m00016m
m00016p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062217,bio/m00016p
m00016r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062217,bio/m00016r
m00017c,dcs:CellularCompartmentCytosol,bio/MNXM24465,bio/m00017c
m00017l,dcs:CellularCompartmentLysosome,bio/MNXM24465,bio/m00017l
m00017r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM24465,bio/m00017r
m00017s,dcs:CellularCompartmentExtracellular,bio/MNXM24465,bio/m00017s
m00018c,dcs:CellularCompartmentCytosol,bio/MNXM146661,bio/m00018c
m00018m,dcs:CellularCompartmentMitochondria,bio/MNXM146661,bio/m00018m
m00018p,dcs:CellularCompartmentPeroxisome,bio/MNXM146661,bio/m00018p
m00018r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM146661,bio/m00018r
m00019c,dcs:CellularCompartmentCytosol,bio/MNXM29438,bio/m00019c
m00019l,dcs:CellularCompartmentLysosome,bio/MNXM29438,bio/m00019l
m00019r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM29438,bio/m00019r
m00019s,dcs:CellularCompartmentExtracellular,bio/MNXM29438,bio/m00019s
m00020c,dcs:CellularCompartmentCytosol,bio/(13Z)-octadecenoyl-CoA,bio/m00020c
m00020m,dcs:CellularCompartmentMitochondria,bio/(13Z)-octadecenoyl-CoA,bio/m00020m
m00020r,dcs:CellularCompartmentEndoplasmicReticulum,bio/(13Z)-octadecenoyl-CoA,bio/m00020r
m00021c,dcs:CellularCompartmentCytosol,bio/CHEMBL4240217,bio/m00021c
m00021l,dcs:CellularCompartmentLysosome,bio/CHEMBL4240217,bio/m00021l
m00021r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL4240217,bio/m00021r
m00021s,dcs:CellularCompartmentExtracellular,bio/CHEMBL4240217,bio/m00021s
m00022c,dcs:CellularCompartmentCytosol,bio/MNXM149276,bio/m00022c
m00022m,dcs:CellularCompartmentMitochondria,bio/MNXM149276,bio/m00022m
m00022r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM149276,bio/m00022r
m00023c,dcs:CellularCompartmentCytosol,bio/HMDB0062220,bio/m00023c
m00023m,dcs:CellularCompartmentMitochondria,bio/HMDB0062220,bio/m00023m
m00023r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062220,bio/m00023r
m00024c,dcs:CellularCompartmentCytosol,bio/MNXM8942,bio/m00024c
m00024r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM8942,bio/m00024r
m00025c,dcs:CellularCompartmentCytosol,bio/HMDB0062221,bio/m00025c
m00025p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062221,bio/m00025p
m00025r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062221,bio/m00025r
m00026m,dcs:CellularCompartmentMitochondria,bio/HMDB0012609,bio/m00026m
m00026p,dcs:CellularCompartmentPeroxisome,bio/HMDB0012609,bio/m00026p
m00027p,dcs:CellularCompartmentPeroxisome,bio/HMDB0012610,bio/m00027p
m00028c,dcs:CellularCompartmentCytosol,bio/HMDB0012611,bio/m00028c
m00029c,dcs:CellularCompartmentCytosol,bio/HMDB0062222,bio/m00029c
m00030c,dcs:CellularCompartmentCytosol,bio/HMDB0062223,bio/m00030c
m00031c,dcs:CellularCompartmentCytosol,bio/HMDB0060300,bio/m00031c
m00032c,dcs:CellularCompartmentCytosol,bio/HMDB0006215,bio/m00032c
m00032s,dcs:CellularCompartmentExtracellular,bio/HMDB0006215,bio/m00032s
m00033c,dcs:CellularCompartmentCytosol,bio/HMDB0060302,bio/m00033c
m00034c,dcs:CellularCompartmentCytosol,bio/HMDB0060301,bio/m00034c
m00035c,dcs:CellularCompartmentCytosol,bio/CHEMBL1590076,bio/m00035c
m00035m,dcs:CellularCompartmentMitochondria,bio/CHEMBL1590076,bio/m00035m
m00035s,dcs:CellularCompartmentExtracellular,bio/CHEMBL1590076,bio/m00035s
m00036m,dcs:CellularCompartmentMitochondria,bio/HMDB0062224,bio/m00036m
m00036p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062224,bio/m00036p
m00037p,dcs:CellularCompartmentPeroxisome,bio/HMDB0002178,bio/m00037p
m00038c,dcs:CellularCompartmentCytosol,bio/HMDB0062225,bio/m00038c
m00039m,dcs:CellularCompartmentMitochondria,bio/HMDB0003948,bio/m00039m
m00039p,dcs:CellularCompartmentPeroxisome,bio/HMDB0003948,bio/m00039p
m00040c,dcs:CellularCompartmentCytosol,bio/HMDB0062226,bio/m00040c
m00040m,dcs:CellularCompartmentMitochondria,bio/HMDB0062226,bio/m00040m
m00040p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062226,bio/m00040p
m00041c,dcs:CellularCompartmentCytosol,bio/MNXM23842,bio/m00041c
m00042m,dcs:CellularCompartmentMitochondria,bio/HMDB0003712,bio/m00042m
m00042p,dcs:CellularCompartmentPeroxisome,bio/HMDB0003712,bio/m00042p
m00043c,dcs:CellularCompartmentCytosol,bio/HMDB0062227,bio/m00043c
m00043m,dcs:CellularCompartmentMitochondria,bio/HMDB0062227,bio/m00043m
m00043p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062227,bio/m00043p
m00044c,dcs:CellularCompartmentCytosol,bio/(2E)-heneicosenoyl-CoA,bio/m00044c
m00044m,dcs:CellularCompartmentMitochondria,bio/(2E)-heneicosenoyl-CoA,bio/m00044m
m00045c,dcs:CellularCompartmentCytosol,bio/(2E)-heptadecenoyl-[ACP],bio/m00045c
m00046m,dcs:CellularCompartmentMitochondria,bio/MNXM170113,bio/m00046m
m00047c,dcs:CellularCompartmentCytosol,bio/(2E)-heptenoyl-[ACP],bio/m00047c
m00048m,dcs:CellularCompartmentMitochondria,bio/(2E)-heptenoyl-CoA,bio/m00048m
m00049c,dcs:CellularCompartmentCytosol,bio/HMDB0062228,bio/m00049c
m00049p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062228,bio/m00049p
m00050c,dcs:CellularCompartmentCytosol,bio/MNXM29072,bio/m00050c
m00051m,dcs:CellularCompartmentMitochondria,bio/HMDB0003945,bio/m00051m
m00051p,dcs:CellularCompartmentPeroxisome,bio/HMDB0003945,bio/m00051p
m00052c,dcs:CellularCompartmentCytosol,bio/MNXM24502,bio/m00052c
m00053m,dcs:CellularCompartmentMitochondria,bio/HMDB0003944,bio/m00053m
m00053p,dcs:CellularCompartmentPeroxisome,bio/HMDB0003944,bio/m00053p
m00054c,dcs:CellularCompartmentCytosol,bio/(2E)-nonadecenoyl-CoA,bio/m00054c
m00054m,dcs:CellularCompartmentMitochondria,bio/(2E)-nonadecenoyl-CoA,bio/m00054m
m00055c,dcs:CellularCompartmentCytosol,bio/(2E)-nonenoyl-[ACP],bio/m00055c
m00056m,dcs:CellularCompartmentMitochondria,bio/MNXM170116,bio/m00056m
m00057c,dcs:CellularCompartmentCytosol,bio/HMDB0062633,bio/m00057c
m00057m,dcs:CellularCompartmentMitochondria,bio/HMDB0062633,bio/m00057m
m00057p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062633,bio/m00057p
m00058c,dcs:CellularCompartmentCytosol,bio/MNXM23766,bio/m00058c
m00059m,dcs:CellularCompartmentMitochondria,bio/HMDB0003949,bio/m00059m
m00059p,dcs:CellularCompartmentPeroxisome,bio/HMDB0003949,bio/m00059p
m00060c,dcs:CellularCompartmentCytosol,bio/(2E)-pentadecenoyl-[ACP],bio/m00060c
m00061m,dcs:CellularCompartmentMitochondria,bio/HMDB0062229,bio/m00061m
m00062c,dcs:CellularCompartmentCytosol,bio/(2E)-pentenoyl-[ACP],bio/m00062c
m00063m,dcs:CellularCompartmentMitochondria,bio/HMDB0062230,bio/m00063m
m00064c,dcs:CellularCompartmentCytosol,bio/HMDB0062231,bio/m00064c
m00064p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062231,bio/m00064p
m00065c,dcs:CellularCompartmentCytosol,bio/MNXM24297,bio/m00065c
m00066m,dcs:CellularCompartmentMitochondria,bio/HMDB0003946,bio/m00066m
m00066p,dcs:CellularCompartmentPeroxisome,bio/HMDB0003946,bio/m00066p
m00067c,dcs:CellularCompartmentCytosol,bio/HMDB0062232,bio/m00067c
m00068c,dcs:CellularCompartmentCytosol,bio/(2E)-tridecenoyl-[ACP],bio/m00068c
m00069m,dcs:CellularCompartmentMitochondria,bio/(2E)-tridecenoyl-CoA,bio/m00069m
m00070c,dcs:CellularCompartmentCytosol,bio/(2E)-undecenoyl-[ACP],bio/m00070c
m00071m,dcs:CellularCompartmentMitochondria,bio/MNXM170117,bio/m00071m
m00072m,dcs:CellularCompartmentMitochondria,bio/(2E_4Z_7Z_10Z)-hexadecatetraenoyl-CoA,bio/m00072m
m00072p,dcs:CellularCompartmentPeroxisome,bio/(2E_4Z_7Z_10Z)-hexadecatetraenoyl-CoA,bio/m00072p
m00073m,dcs:CellularCompartmentMitochondria,bio/(2E_6Z_9Z_12Z)-octadecatetraenoyl-CoA,bio/m00073m
m00073p,dcs:CellularCompartmentPeroxisome,bio/(2E_6Z_9Z_12Z)-octadecatetraenoyl-CoA,bio/m00073p
m00074c,dcs:CellularCompartmentCytosol,bio/HMDB0060202,bio/m00074c
m00075p,dcs:CellularCompartmentPeroxisome,bio/CHEMBL1162496,bio/m00075p
m00076p,dcs:CellularCompartmentPeroxisome,bio/(2R_6R_10R)-trimethyl-hendecanoyl-CoA,bio/m00076p
m00077p,dcs:CellularCompartmentPeroxisome,bio/MNXM165274,bio/m00077p
m00078p,dcs:CellularCompartmentPeroxisome,bio/HMDB0060182,bio/m00078p
m00079p,dcs:CellularCompartmentPeroxisome,bio/HMDB0012470,bio/m00079p
m00080p,dcs:CellularCompartmentPeroxisome,bio/HMDB0012471,bio/m00080p
m00081m,dcs:CellularCompartmentMitochondria,bio/HMDB0012473,bio/m00081m
m00081p,dcs:CellularCompartmentPeroxisome,bio/HMDB0012473,bio/m00081p
m00082m,dcs:CellularCompartmentMitochondria,bio/HMDB0012476,bio/m00082m
m00082p,dcs:CellularCompartmentPeroxisome,bio/HMDB0012476,bio/m00082p
m00083m,dcs:CellularCompartmentMitochondria,bio/HMDB0012477,bio/m00083m
m00083p,dcs:CellularCompartmentPeroxisome,bio/HMDB0012477,bio/m00083p
m00084m,dcs:CellularCompartmentMitochondria,bio/HMDB0006345,bio/m00084m
m00085c,dcs:CellularCompartmentCytosol,bio/(3S)-hydroxy-docasa-cis_cis-13_16-dienoyl-CoA,bio/m00085c
m00086c,dcs:CellularCompartmentCytosol,bio/(3S)-hydroxy-eicosa-cis_cis_cis-11_14_17-trienoyl-CoA,bio/m00086c
m00087c,dcs:CellularCompartmentCytosol,bio/HMDB0060189,bio/m00087c
m00088m,dcs:CellularCompartmentMitochondria,bio/HMDB0004257,bio/m00088m
m00088p,dcs:CellularCompartmentPeroxisome,bio/HMDB0004257,bio/m00088p
m00089m,dcs:CellularCompartmentMitochondria,bio/(3Z_7Z_10Z)-hexadecatrienoyl-CoA,bio/m00089m
m00089p,dcs:CellularCompartmentPeroxisome,bio/(3Z_7Z_10Z)-hexadecatrienoyl-CoA,bio/m00089p
m00090p,dcs:CellularCompartmentPeroxisome,bio/HMDB0012480,bio/m00090p
m00091m,dcs:CellularCompartmentMitochondria,bio/(4Z_7Z_10Z)-hexadecatrienoyl-CoA,bio/m00091m
m00091p,dcs:CellularCompartmentPeroxisome,bio/(4Z_7Z_10Z)-hexadecatrienoyl-CoA,bio/m00091p
m00092c,dcs:CellularCompartmentCytosol,bio/HMDB0006321,bio/m00092c
m00092m,dcs:CellularCompartmentMitochondria,bio/HMDB0006321,bio/m00092m
m00092r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0006321,bio/m00092r
m00093c,dcs:CellularCompartmentCytosol,bio/HMDB0062234,bio/m00093c
m00093m,dcs:CellularCompartmentMitochondria,bio/HMDB0062234,bio/m00093m
m00093p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062234,bio/m00093p
m00093r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062234,bio/m00093r
m00094c,dcs:CellularCompartmentCytosol,bio/HMDB0001976,bio/m00094c
m00094l,dcs:CellularCompartmentLysosome,bio/HMDB0001976,bio/m00094l
m00094r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0001976,bio/m00094r
m00094s,dcs:CellularCompartmentExtracellular,bio/HMDB0001976,bio/m00094s
m00095c,dcs:CellularCompartmentCytosol,bio/HMDB0062235,bio/m00095c
m00095m,dcs:CellularCompartmentMitochondria,bio/HMDB0062235,bio/m00095m
m00095p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062235,bio/m00095p
m00095r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062235,bio/m00095r
m00096c,dcs:CellularCompartmentCytosol,bio/MNXM92760,bio/m00096c
m00097s,dcs:CellularCompartmentExtracellular,bio/HMDB0006248,bio/m00097s
m00098c,dcs:CellularCompartmentCytosol,bio/HMDB0062236,bio/m00098c
m00098p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062236,bio/m00098p
m00098r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062236,bio/m00098r
m00099m,dcs:CellularCompartmentMitochondria,bio/MNXM163970,bio/m00099m
m00099p,dcs:CellularCompartmentPeroxisome,bio/MNXM163970,bio/m00099p
m00100c,dcs:CellularCompartmentCytosol,bio/(5Z_8Z_11Z)-eicosatrienoylcarnitine,bio/m00100c
m00100m,dcs:CellularCompartmentMitochondria,bio/(5Z_8Z_11Z)-eicosatrienoylcarnitine,bio/m00100m
m00100r,dcs:CellularCompartmentEndoplasmicReticulum,bio/(5Z_8Z_11Z)-eicosatrienoylcarnitine,bio/m00100r
m00101c,dcs:CellularCompartmentCytosol,bio/HMDB0062237,bio/m00101c
m00101m,dcs:CellularCompartmentMitochondria,bio/HMDB0062237,bio/m00101m
m00101r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062237,bio/m00101r
m00102c,dcs:CellularCompartmentCytosol,bio/MNXM9158,bio/m00102c
m00102m,dcs:CellularCompartmentMitochondria,bio/MNXM9158,bio/m00102m
m00102r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM9158,bio/m00102r
m00103c,dcs:CellularCompartmentCytosol,bio/HMDB0060311,bio/m00103c
m00103m,dcs:CellularCompartmentMitochondria,bio/HMDB0060311,bio/m00103m
m00103r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0060311,bio/m00103r
m00104c,dcs:CellularCompartmentCytosol,bio/HMDB0062238,bio/m00104c
m00104l,dcs:CellularCompartmentLysosome,bio/HMDB0062238,bio/m00104l
m00104r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062238,bio/m00104r
m00104s,dcs:CellularCompartmentExtracellular,bio/HMDB0062238,bio/m00104s
m00105c,dcs:CellularCompartmentCytosol,bio/MNXM8845,bio/m00105c
m00105m,dcs:CellularCompartmentMitochondria,bio/MNXM8845,bio/m00105m
m00105r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM8845,bio/m00105r
m00106c,dcs:CellularCompartmentCytosol,bio/HMDB0062239,bio/m00106c
m00106m,dcs:CellularCompartmentMitochondria,bio/HMDB0062239,bio/m00106m
m00106r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062239,bio/m00106r
m00107c,dcs:CellularCompartmentCytosol,bio/HMDB0006463,bio/m00107c
m00107m,dcs:CellularCompartmentMitochondria,bio/HMDB0006463,bio/m00107m
m00107r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0006463,bio/m00107r
m00108c,dcs:CellularCompartmentCytosol,bio/HMDB0006519,bio/m00108c
m00108m,dcs:CellularCompartmentMitochondria,bio/HMDB0006519,bio/m00108m
m00108r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0006519,bio/m00108r
m00109c,dcs:CellularCompartmentCytosol,bio/MNXM9140,bio/m00109c
m00109r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM9140,bio/m00109r
m00110c,dcs:CellularCompartmentCytosol,bio/HMDB0062240,bio/m00110c
m00110p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062240,bio/m00110p
m00110r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062240,bio/m00110r
m00111c,dcs:CellularCompartmentCytosol,bio/HMDB0006322,bio/m00111c
m00111l,dcs:CellularCompartmentLysosome,bio/HMDB0006322,bio/m00111l
m00111r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0006322,bio/m00111r
m00111s,dcs:CellularCompartmentExtracellular,bio/HMDB0006322,bio/m00111s
m00112c,dcs:CellularCompartmentCytosol,bio/(6Z_9Z_12Z_15Z_18Z_21Z)-tetracosahexaenoylcarnitine,bio/m00112c
m00112r,dcs:CellularCompartmentEndoplasmicReticulum,bio/(6Z_9Z_12Z_15Z_18Z_21Z)-tetracosahexaenoylcarnitine,bio/m00112r
m00113c,dcs:CellularCompartmentCytosol,bio/HMDB0062241,bio/m00113c
m00113p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062241,bio/m00113p
m00113r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062241,bio/m00113r
m00114c,dcs:CellularCompartmentCytosol,bio/HMDB13025,bio/m00114c
m00114l,dcs:CellularCompartmentLysosome,bio/HMDB13025,bio/m00114l
m00114r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB13025,bio/m00114r
m00114s,dcs:CellularCompartmentExtracellular,bio/HMDB13025,bio/m00114s
m00115c,dcs:CellularCompartmentCytosol,bio/HMDB0062242,bio/m00115c
m00115l,dcs:CellularCompartmentLysosome,bio/HMDB0062242,bio/m00115l
m00115r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062242,bio/m00115r
m00115s,dcs:CellularCompartmentExtracellular,bio/HMDB0062242,bio/m00115s
m00116c,dcs:CellularCompartmentCytosol,bio/(7Z)-octadecenoyl-CoA,bio/m00116c
m00116m,dcs:CellularCompartmentMitochondria,bio/(7Z)-octadecenoyl-CoA,bio/m00116m
m00116r,dcs:CellularCompartmentEndoplasmicReticulum,bio/(7Z)-octadecenoyl-CoA,bio/m00116r
m00117c,dcs:CellularCompartmentCytosol,bio/HMDB0062243,bio/m00117c
m00117l,dcs:CellularCompartmentLysosome,bio/HMDB0062243,bio/m00117l
m00117r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062243,bio/m00117r
m00117s,dcs:CellularCompartmentExtracellular,bio/HMDB0062243,bio/m00117s
m00118c,dcs:CellularCompartmentCytosol,bio/MNXM163972,bio/m00118c
m00118m,dcs:CellularCompartmentMitochondria,bio/MNXM163972,bio/m00118m
m00118p,dcs:CellularCompartmentPeroxisome,bio/MNXM163972,bio/m00118p
m00118r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM163972,bio/m00118r
m00119c,dcs:CellularCompartmentCytosol,bio/HMDB0062245,bio/m00119c
m00119m,dcs:CellularCompartmentMitochondria,bio/HMDB0062245,bio/m00119m
m00119r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062245,bio/m00119r
m00120c,dcs:CellularCompartmentCytosol,bio/HMDB0006496,bio/m00120c
m00120m,dcs:CellularCompartmentMitochondria,bio/HMDB0006496,bio/m00120m
m00120r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0006496,bio/m00120r
m00121c,dcs:CellularCompartmentCytosol,bio/HMDB0006267,bio/m00121c
m00121m,dcs:CellularCompartmentMitochondria,bio/HMDB0006267,bio/m00121m
m00121r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0006267,bio/m00121r
m00122c,dcs:CellularCompartmentCytosol,bio/(8Z_11Z)-eicosadienoylcarnitine,bio/m00122c
m00122m,dcs:CellularCompartmentMitochondria,bio/(8Z_11Z)-eicosadienoylcarnitine,bio/m00122m
m00122r,dcs:CellularCompartmentEndoplasmicReticulum,bio/(8Z_11Z)-eicosadienoylcarnitine,bio/m00122r
m00123c,dcs:CellularCompartmentCytosol,bio/HMDB0062246,bio/m00123c
m00123m,dcs:CellularCompartmentMitochondria,bio/HMDB0062246,bio/m00123m
m00123r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062246,bio/m00123r
m00124c,dcs:CellularCompartmentCytosol,bio/MNXM8574,bio/m00124c
m00124m,dcs:CellularCompartmentMitochondria,bio/MNXM8574,bio/m00124m
m00124r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM8574,bio/m00124r
m00125c,dcs:CellularCompartmentCytosol,bio/HMDB0062247,bio/m00125c
m00125m,dcs:CellularCompartmentMitochondria,bio/HMDB0062247,bio/m00125m
m00125r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062247,bio/m00125r
m00126c,dcs:CellularCompartmentCytosol,bio/HMDB0006464,bio/m00126c
m00126m,dcs:CellularCompartmentMitochondria,bio/HMDB0006464,bio/m00126m
m00126r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0006464,bio/m00126r
m00127c,dcs:CellularCompartmentCytosol,bio/MNXM11476,bio/m00127c
m00127m,dcs:CellularCompartmentMitochondria,bio/MNXM11476,bio/m00127m
m00127r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM11476,bio/m00127r
m00128c,dcs:CellularCompartmentCytosol,bio/HMDB0062248,bio/m00128c
m00128l,dcs:CellularCompartmentLysosome,bio/HMDB0062248,bio/m00128l
m00128r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062248,bio/m00128r
m00128s,dcs:CellularCompartmentExtracellular,bio/HMDB0062248,bio/m00128s
m00129c,dcs:CellularCompartmentCytosol,bio/(9E)-tetradecenoyl-CoA,bio/m00129c
m00129m,dcs:CellularCompartmentMitochondria,bio/(9E)-tetradecenoyl-CoA,bio/m00129m
m00129r,dcs:CellularCompartmentEndoplasmicReticulum,bio/(9E)-tetradecenoyl-CoA,bio/m00129r
m00130c,dcs:CellularCompartmentCytosol,bio/HMDB0060158,bio/m00130c
m00130r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0060158,bio/m00130r
m00131c,dcs:CellularCompartmentCytosol,bio/HMDB0062249,bio/m00131c
m00131p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062249,bio/m00131p
m00131r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062249,bio/m00131r
m00132c,dcs:CellularCompartmentCytosol,bio/MNXM12999,bio/m00132c
m00132l,dcs:CellularCompartmentLysosome,bio/MNXM12999,bio/m00132l
m00132r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM12999,bio/m00132r
m00132s,dcs:CellularCompartmentExtracellular,bio/MNXM12999,bio/m00132s
m00133c,dcs:CellularCompartmentCytosol,bio/MNXM9139,bio/m00133c
m00133r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM9139,bio/m00133r
m00134c,dcs:CellularCompartmentCytosol,bio/HMDB0062250,bio/m00134c
m00134p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062250,bio/m00134p
m00134r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062250,bio/m00134r
m00135c,dcs:CellularCompartmentCytosol,bio/HMDB0006323,bio/m00135c
m00135l,dcs:CellularCompartmentLysosome,bio/HMDB0006323,bio/m00135l
m00135r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0006323,bio/m00135r
m00135s,dcs:CellularCompartmentExtracellular,bio/HMDB0006323,bio/m00135s
m00136c,dcs:CellularCompartmentCytosol,bio/MNXM15750,bio/m00136c
m00137c,dcs:CellularCompartmentCytosol,bio/MNXM15750,bio/m00137c
m00138g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM5381,bio/m00138g
m00138r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM5381,bio/m00138r
m00139g,dcs:CellularCompartmentGolgiApparatus,bio/MNXM6531,bio/m00139g
