reactionID,hm_38_gene,hm_19_gene
bio/HMR_7799,bio/hg38_TCIRG1,bio/hg19_TCIRG1
bio/ATPasel,bio/hg38_TCIRG1,bio/hg19_TCIRG1
bio/ATPasel,bio/hg38_TCIRG1,bio/hg19_TCIRG1
bio/HMR_7799,bio/hg38_ATP6V0B,bio/hg19_ATP6V0B
bio/ATPasel,bio/hg38_ATP6V0B,bio/hg19_ATP6V0B
bio/ATPasel,bio/hg38_ATP6V0B,bio/hg19_ATP6V0B
bio/ATPasel,bio/hg38_ATP6V0B,bio/hg19_ATP6V0B
bio/ATPasel,bio/hg38_ATP6V0B,bio/hg19_ATP6V0B
bio/ATPasel,bio/hg38_ATP6V0B,bio/hg19_ATP6V0B
bio/ATPasel,bio/hg38_ATP6V0B,bio/hg19_ATP6V0B
bio/ATPasel,bio/hg38_ATP6V0B,bio/hg19_ATP6V0B
bio/ATPasel,bio/hg38_ATP6V0B,bio/hg19_ATP6V0B
bio/HMR_7799,bio/hg38_ATP6V0D2,bio/hg19_ATP6V0D2
bio/ATPasel,bio/hg38_ATP6V0D2,bio/hg19_ATP6V0D2
bio/ATPasel,bio/hg38_ATP6V0D2,bio/hg19_ATP6V0D2
bio/ATPasel,bio/hg38_ATP6V0D2,bio/hg19_ATP6V0D2
bio/ATPasel,bio/hg38_ATP6V0D2,bio/hg19_ATP6V0D2
bio/HMR_7799,bio/hg38_ATP6V0D1,bio/hg19_ATP6V0D1
bio/ATPasel,bio/hg38_ATP6V0D1,bio/hg19_ATP6V0D1
bio/ATPasel,bio/hg38_ATP6V0D1,bio/hg19_ATP6V0D1
bio/ATPasel,bio/hg38_ATP6V0D1,bio/hg19_ATP6V0D1
bio/ATPasel,bio/hg38_ATP6V0D1,bio/hg19_ATP6V0D1
bio/HMR_7799,bio/hg38_ATP6V0A2,bio/hg19_ATP6V0A2
bio/ATPasel,bio/hg38_ATP6V0A2,bio/hg19_ATP6V0A2
bio/ATPasel,bio/hg38_ATP6V0A2,bio/hg19_ATP6V0A2
bio/HMR_7799,bio/hg38_ATP6V0C,bio/hg19_ATP6V0C
bio/ATPasel,bio/hg38_ATP6V0C,bio/hg19_ATP6V0C
bio/ATPasel,bio/hg38_ATP6V0C,bio/hg19_ATP6V0C
bio/ATPasel,bio/hg38_ATP6V0C,bio/hg19_ATP6V0C
bio/ATPasel,bio/hg38_ATP6V0C,bio/hg19_ATP6V0C
bio/ATPasel,bio/hg38_ATP6V0C,bio/hg19_ATP6V0C
bio/ATPasel,bio/hg38_ATP6V0C,bio/hg19_ATP6V0C
bio/ATPasel,bio/hg38_ATP6V0C,bio/hg19_ATP6V0C
bio/ATPasel,bio/hg38_ATP6V0C,bio/hg19_ATP6V0C
bio/HMR_0918,bio/hg38_SLC35A3,bio/hg19_SLC35A3
bio/HMR_8857,bio/hg38_SLC35A3,bio/hg19_SLC35A3
bio/HMR_0918,bio/hg38_SLC35D2,bio/hg19_SLC35D2
bio/HMR_7434,bio/hg38_SLC35D2,bio/hg19_SLC35D2
bio/HMR_8857,bio/hg38_SLC35D2,bio/hg19_SLC35D2
bio/HMR_4881,bio/hg38_SLC35D2,bio/hg19_SLC35D2
bio/HMR_0918,bio/hg38_SLC35B4,bio/hg19_SLC35B4
bio/HMR_4125,bio/hg38_SLC35B4,bio/hg19_SLC35B4
bio/HMR_8857,bio/hg38_SLC35B4,bio/hg19_SLC35B4
bio/HMR_0918,bio/hg38_AL160269.1,bio/hg19_AL160269.1
bio/HMR_7434,bio/hg38_AL160269.1,bio/hg19_AL160269.1
bio/HMR_8857,bio/hg38_AL160269.1,bio/hg19_AL160269.1
bio/HMR_4881,bio/hg38_AL160269.1,bio/hg19_AL160269.1
bio/HMR_7433,bio/hg38_SLC35A2,bio/hg19_SLC35A2
bio/HMR_6385,bio/hg38_SLC35A2,bio/hg19_SLC35A2
bio/HMR_7694,bio/hg38_SLC9A7,bio/hg19_SLC9A7
bio/HMR_7695,bio/hg38_SLC9A7,bio/hg19_SLC9A7
bio/HMR_7694,bio/hg38_SLC9A8,bio/hg19_SLC9A8
bio/HMR_7695,bio/hg38_SLC9A8,bio/hg19_SLC9A8
bio/HMR_7733,bio/hg38_SLC35C1,bio/hg19_SLC35C1
bio/HMR_7740,bio/hg38_SLC35B2,bio/hg19_SLC35B2
bio/HMR_7743,bio/hg38_KPNA6,bio/hg19_KPNA6
bio/HMR_7743,bio/hg38_XPO7,bio/hg19_XPO7
bio/HMR_7743,bio/hg38_XPO6,bio/hg19_XPO6
bio/HMR_9199,bio/hg38_SLC30A6,bio/hg19_SLC30A6
bio/HMR_9199,bio/hg38_SLC30A7,bio/hg19_SLC30A7
bio/HMR_0461,bio/hg38_PCTP,bio/hg19_PCTP
bio/HMR_0730,bio/hg38_VAPA,bio/hg19_VAPA
bio/HMR_0730,bio/hg38_VAPB,bio/hg19_VAPB
