ensemblID,systemsBiologyOntologyTerm,hm_38_gene,hm_19_gene
ENSG00000152104,"""SBO:0000243""",bio/hg38_PTPN14,bio/hg19_PTPN14
ENSG00000152127,"""SBO:0000243""",bio/hg38_MGAT5,bio/hg19_MGAT5
ENSG00000152234,"""SBO:0000243""",bio/hg38_ATP5F1A,bio/hg19_ATP5F1A
ENSG00000152254,"""SBO:0000243""",bio/hg38_G6PC2,bio/hg19_G6PC2
ENSG00000152256,"""SBO:0000243""",bio/hg38_PDK1,bio/hg19_PDK1
ENSG00000152270,"""SBO:0000243""",bio/hg38_PDE3B,bio/hg19_PDE3B
ENSG00000152332,"""SBO:0000243""",bio/hg38_UHMK1,bio/hg19_UHMK1
ENSG00000152402,"""SBO:0000243""",bio/hg38_GUCY1A2,bio/hg19_GUCY1A2
ENSG00000152455,"""SBO:0000243""",bio/hg38_SUV39H2,bio/hg19_SUV39H2
ENSG00000152463,"""SBO:0000243""",bio/hg38_OLAH,bio/hg19_OLAH
ENSG00000152465,"""SBO:0000243""",bio/hg38_NMT2,bio/hg19_NMT2
ENSG00000152484,"""SBO:0000243""",bio/hg38_USP12,bio/hg19_USP12
ENSG00000152495,"""SBO:0000243""",bio/hg38_CAMK4,bio/hg19_CAMK4
ENSG00000152556,"""SBO:0000243""",bio/hg38_PFKM,bio/hg19_PFKM
ENSG00000152620,"""SBO:0000243""",bio/hg38_NADK2,bio/hg19_NADK2
ENSG00000152642,"""SBO:0000243""",bio/hg38_GPD1L,bio/hg19_GPD1L
ENSG00000152683,"""SBO:0000243""",bio/hg38_SLC30A6,bio/hg19_SLC30A6
ENSG00000152779,"""SBO:0000243""",bio/hg38_SLC16A12,bio/hg19_SLC16A12
ENSG00000152782,"""SBO:0000243""",bio/hg38_PANK1,bio/hg19_PANK1
ENSG00000152894,"""SBO:0000243""",bio/hg38_PTPRK,bio/hg19_PTPRK
ENSG00000152904,"""SBO:0000243""",bio/hg38_GGPS1,bio/hg19_GGPS1
ENSG00000152952,"""SBO:0000243""",bio/hg38_PLOD2,bio/hg19_PLOD2
ENSG00000152953,"""SBO:0000243""",bio/hg38_STK32B,bio/hg19_STK32B
ENSG00000153015,"""SBO:0000243""",bio/hg38_CWC27,bio/hg19_CWC27
ENSG00000153086,"""SBO:0000243""",bio/hg38_ACMSD,bio/hg19_ACMSD
ENSG00000153201,"""SBO:0000243""",bio/hg38_RANBP2,bio/hg19_RANBP2
ENSG00000153207,"""SBO:0000243""",bio/hg38_AHCTF1,bio/hg19_AHCTF1
ENSG00000153208,"""SBO:0000243""",bio/hg38_MERTK,bio/hg19_MERTK
ENSG00000153233,"""SBO:0000243""",bio/hg38_PTPRR,bio/hg19_PTPRR
ENSG00000153291,"""SBO:0000243""",bio/hg38_SLC25A27,bio/hg19_SLC25A27
ENSG00000153395,"""SBO:0000243""",bio/hg38_LPCAT1,bio/hg19_LPCAT1
