accession,associated_metabolite,protein_dcid,metabolite_dcid
HMDBP00031,HMDB0001041,bio/THIM_HUMAN,bio/HMDB0001041
HMDBP00031,HMDB0002307,bio/THIM_HUMAN,bio/HMDB0002307
HMDBP00031,HMDB0003945,bio/THIM_HUMAN,bio/HMDB0003945
HMDBP00031,HMDB0006529,bio/THIM_HUMAN,bio/HMDB0006529
HMDBP00031,HMDB0001022,bio/THIM_HUMAN,bio/HMDB0001022
HMDBP00031,HMDB0060378,bio/THIM_HUMAN,bio/HMDB0060378
HMDBP00033,HMDB0001206,bio/CDY1_HUMAN,bio/HMDB0001206
HMDBP00033,HMDB0001423,bio/CDY1_HUMAN,bio/CHEMBL1623949
HMDBP00035,HMDB0000217,bio/FAS_HUMAN,bio/HMDB0000217
HMDBP00035,HMDB0000221,bio/FAS_HUMAN,bio/CHEMBL407009
HMDBP00035,HMDB0000220,bio/FAS_HUMAN,bio/CHEMBL82293
HMDBP00035,HMDB0001175,bio/FAS_HUMAN,bio/CHEMBL1234355
HMDBP00035,HMDB0001206,bio/FAS_HUMAN,bio/HMDB0001206
HMDBP00035,HMDB0001423,bio/FAS_HUMAN,bio/CHEMBL1623949
HMDBP00035,HMDB0001967,bio/FAS_HUMAN,bio/CHEMBL1231871
HMDBP00035,HMDB0002111,bio/FAS_HUMAN,bio/CHEMBL1098659
HMDBP00035,HMDB0001416,bio/FAS_HUMAN,bio/HMDB0001416
HMDBP00035,HMDB0000910,bio/FAS_HUMAN,bio/CHEMBL107874
HMDBP00035,HMDB0000806,bio/FAS_HUMAN,bio/CHEMBL111077
HMDBP00035,HMDB0006497,bio/FAS_HUMAN,bio/HMDB0006497
HMDBP00035,HMDB0000827,bio/FAS_HUMAN,bio/CHEMBL46403
HMDBP00035,HMDB0001043,bio/FAS_HUMAN,bio/CHEMBL15594
HMDBP00035,HMDB0002212,bio/FAS_HUMAN,bio/CHEMBL1173381
HMDBP00035,HMDB0002259,bio/FAS_HUMAN,bio/CHEMBL1172910
HMDBP00035,HMDB0000826,bio/FAS_HUMAN,bio/CHEMBL460025
HMDBP00035,HMDB0006516,bio/FAS_HUMAN,bio/HMDB0006516
HMDBP00035,HMDB0010722,bio/FAS_HUMAN,bio/HMDB0010722
HMDBP00035,HMDB0010724,bio/FAS_HUMAN,bio/HMDB0010724
HMDBP00035,HMDB0010725,bio/FAS_HUMAN,bio/HMDB0010725
HMDBP00035,HMDB0010726,bio/FAS_HUMAN,bio/HMDB0010726
HMDBP00035,HMDB0010727,bio/FAS_HUMAN,bio/HMDB0010727
HMDBP00035,HMDB0010728,bio/FAS_HUMAN,bio/HMDB0010728
HMDBP00035,HMDB0010729,bio/FAS_HUMAN,bio/HMDB0010729
HMDBP00035,HMDB0010730,bio/FAS_HUMAN,bio/HMDB0010730
HMDBP00035,HMDB0010731,bio/FAS_HUMAN,bio/HMDB0010731
HMDBP00035,HMDB0010732,bio/FAS_HUMAN,bio/HMDB0010732
HMDBP00035,HMDB0010733,bio/FAS_HUMAN,bio/HMDB0010733
HMDBP00035,HMDB0010734,bio/FAS_HUMAN,bio/HMDB0010734
HMDBP00035,HMDB0010735,bio/FAS_HUMAN,bio/HMDB0010735
HMDBP00035,HMDB0010737,bio/FAS_HUMAN,bio/HMDB0010737
HMDBP00035,HMDB0015168,bio/FAS_HUMAN,bio/CHEMBL45627
HMDBP00035,HMDB0015215,bio/FAS_HUMAN,bio/HMDB0015215
HMDBP00035,HMDB0000207,bio/FAS_HUMAN,bio/CHEMBL8659
HMDBP00035,HMDB0059597,bio/FAS_HUMAN,bio/HMDB0059597
HMDBP00036,HMDB0001206,bio/KAT5_HUMAN,bio/HMDB0001206
HMDBP00036,HMDB0001423,bio/KAT5_HUMAN,bio/CHEMBL1623949
HMDBP00037,HMDB0000042,bio/ACSA_HUMAN,bio/CHEMBL539
HMDBP00037,HMDB0001206,bio/ACSA_HUMAN,bio/HMDB0001206
HMDBP00037,HMDB0000538,bio/ACSA_HUMAN,bio/CHEMBL14249
HMDBP00037,HMDB0001423,bio/ACSA_HUMAN,bio/CHEMBL1623949
HMDBP00037,HMDB0000045,bio/ACSA_HUMAN,bio/CHEMBL752
HMDBP00037,HMDB0000250,bio/ACSA_HUMAN,bio/CHEMBL1160571
HMDBP00037,HMDB0006880,bio/ACSA_HUMAN,bio/HMDB0006880
HMDBP00037,HMDB0006806,bio/ACSA_HUMAN,bio/HMDB0006806
HMDBP00037,HMDB0001275,bio/ACSA_HUMAN,bio/HMDB0001275
HMDBP00037,HMDB0000237,bio/ACSA_HUMAN,bio/CHEMBL14021
HMDBP00038,HMDB0001484,bio/THIL_HUMAN,bio/HMDB0001484
HMDBP00038,HMDB0001206,bio/THIL_HUMAN,bio/HMDB0001206
HMDBP00038,HMDB0001423,bio/THIL_HUMAN,bio/CHEMBL1623949
HMDBP00038,HMDB0003943,bio/THIL_HUMAN,bio/HMDB0003943
HMDBP00038,HMDB0014933,bio/THIL_HUMAN,bio/CHEMBL421
HMDBP00038,HMDB0001088,bio/THIL_HUMAN,bio/CHEMBL1949894
HMDBP00039,HMDB0001206,bio/NCOA1_HUMAN,bio/HMDB0001206
HMDBP00039,HMDB0001423,bio/NCOA1_HUMAN,bio/CHEMBL1623949
HMDBP00039,HMDB0003217,bio/NCOA1_HUMAN,bio/CHEMBL44
HMDBP00040,HMDB0000032,bio/HMCS2_HUMAN,bio/CHEMBL1797131
HMDBP00040,HMDB0001206,bio/HMCS2_HUMAN,bio/HMDB0001206
HMDBP00040,HMDB0001375,bio/HMCS2_HUMAN,bio/CHEMBL1794644
HMDBP00040,HMDB0001423,bio/HMCS2_HUMAN,bio/CHEMBL1623949
HMDBP00040,HMDB0001484,bio/HMCS2_HUMAN,bio/HMDB0001484
HMDBP00040,HMDB0002111,bio/HMCS2_HUMAN,bio/CHEMBL1098659
HMDBP00041,HMDB0001451,bio/ODPX_HUMAN,bio/CHEMBL134342
HMDBP00042,HMDB0000042,bio/ACS2L_HUMAN,bio/CHEMBL539
HMDBP00042,HMDB0000045,bio/ACS2L_HUMAN,bio/CHEMBL752
HMDBP00042,HMDB0000237,bio/ACS2L_HUMAN,bio/CHEMBL14021
HMDBP00042,HMDB0000250,bio/ACS2L_HUMAN,bio/CHEMBL1160571
HMDBP00042,HMDB0000538,bio/ACS2L_HUMAN,bio/CHEMBL14249
HMDBP00042,HMDB0001206,bio/ACS2L_HUMAN,bio/HMDB0001206
HMDBP00042,HMDB0001275,bio/ACS2L_HUMAN,bio/HMDB0001275
HMDBP00042,HMDB0001423,bio/ACS2L_HUMAN,bio/CHEMBL1623949
HMDBP00042,HMDB0001429,bio/ACS2L_HUMAN,bio/CHEMBL1187
HMDBP00042,HMDB0006806,bio/ACS2L_HUMAN,bio/HMDB0006806
HMDBP00042,HMDB0006880,bio/ACS2L_HUMAN,bio/HMDB0006880
HMDBP00042,HMDB0001364,bio/ACS2L_HUMAN,bio/CHEMBL490984
HMDBP00043,HMDB0001206,bio/CISY_HUMAN,bio/HMDB0001206
HMDBP00043,HMDB0000223,bio/CISY_HUMAN,bio/CHEMBL1794791
HMDBP00043,HMDB0000094,bio/CISY_HUMAN,bio/CHEMBL1261
HMDBP00043,HMDB0001423,bio/CISY_HUMAN,bio/CHEMBL1623949
HMDBP00043,HMDB0002111,bio/CISY_HUMAN,bio/CHEMBL1098659
HMDBP00044,HMDB0001206,bio/CDY2_HUMAN,bio/HMDB0001206
HMDBP00044,HMDB0001423,bio/CDY2_HUMAN,bio/CHEMBL1623949
HMDBP00045,HMDB0001206,bio/THIK_HUMAN,bio/HMDB0001206
HMDBP00045,HMDB0001338,bio/THIK_HUMAN,bio/CHEMBL3904487
HMDBP00045,HMDB0006497,bio/THIK_HUMAN,bio/HMDB0006497
HMDBP00045,HMDB0001114,bio/THIK_HUMAN,bio/HMDB0001114
HMDBP00045,HMDB0004258,bio/THIK_HUMAN,bio/HMDB0004258
HMDBP00045,HMDB0001275,bio/THIK_HUMAN,bio/HMDB0001275
HMDBP00045,HMDB0001088,bio/THIK_HUMAN,bio/CHEMBL1949894
HMDBP00045,HMDB0013037,bio/THIK_HUMAN,bio/HMDB0013037
HMDBP00045,HMDB0012969,bio/THIK_HUMAN,bio/HMDB0012969
HMDBP00045,HMDB0001070,bio/THIK_HUMAN,bio/CHEMBL1949896
HMDBP00045,HMDB0013028,bio/THIK_HUMAN,bio/HMDB0013028
HMDBP00045,HMDB0006404,bio/THIK_HUMAN,bio/CHEMBL1949897
HMDBP00045,HMDB0013114,bio/THIK_HUMAN,bio/HMDB0013114
HMDBP00045,HMDB0003571,bio/THIK_HUMAN,bio/CHEMBL1949898
HMDBP00045,HMDB0006526,bio/THIK_HUMAN,bio/HMDB0006526
HMDBP00045,HMDB0002009,bio/THIK_HUMAN,bio/HMDB0002009
HMDBP00045,HMDB0001290,bio/THIK_HUMAN,bio/HMDB0001290
HMDBP00045,HMDB0003944,bio/THIK_HUMAN,bio/HMDB0003944
HMDBP00045,HMDB0003949,bio/THIK_HUMAN,bio/HMDB0003949
HMDBP00045,HMDB0003948,bio/THIK_HUMAN,bio/HMDB0003948
HMDBP00045,HMDB0003946,bio/THIK_HUMAN,bio/HMDB0003946
HMDBP00045,HMDB0004257,bio/THIK_HUMAN,bio/HMDB0004257
HMDBP00045,HMDB0003712,bio/THIK_HUMAN,bio/HMDB0003712
HMDBP00045,HMDB0001243,bio/THIK_HUMAN,bio/HMDB0001243
HMDBP00045,HMDB0011660,bio/THIK_HUMAN,bio/HMDB0011660
HMDBP00045,HMDB0001113,bio/THIK_HUMAN,bio/HMDB0001113
HMDBP00045,HMDB0002057,bio/THIK_HUMAN,bio/HMDB0002057
HMDBP00045,HMDB0006402,bio/THIK_HUMAN,bio/HMDB0006402
HMDBP00045,HMDB0003941,bio/THIK_HUMAN,bio/HMDB0003941
HMDBP00045,HMDB0001484,bio/THIK_HUMAN,bio/HMDB0001484
HMDBP00045,HMDB0001041,bio/THIK_HUMAN,bio/HMDB0001041
HMDBP00045,HMDB0002307,bio/THIK_HUMAN,bio/HMDB0002307
HMDBP00045,HMDB0003945,bio/THIK_HUMAN,bio/HMDB0003945
HMDBP00045,HMDB0006529,bio/THIK_HUMAN,bio/HMDB0006529
HMDBP00045,HMDB0002845,bio/THIK_HUMAN,bio/CHEMBL1949895
HMDBP00045,HMDB0013109,bio/THIK_HUMAN,bio/HMDB0013109
HMDBP00045,HMDB0001022,bio/THIK_HUMAN,bio/HMDB0001022
HMDBP00045,HMDB0001157,bio/THIK_HUMAN,bio/HMDB0001157
HMDBP00045,HMDB0001374,bio/THIK_HUMAN,bio/HMDB0001374
HMDBP00045,HMDB0001423,bio/THIK_HUMAN,bio/CHEMBL1623949
HMDBP00045,HMDB0001493,bio/THIK_HUMAN,bio/HMDB0001493
HMDBP00045,HMDB0001521,bio/THIK_HUMAN,bio/CHEMBL1949899
HMDBP00045,HMDB0002159,bio/THIK_HUMAN,bio/HMDB0002159
HMDBP00045,HMDB0002252,bio/THIK_HUMAN,bio/HMDB0002252
HMDBP00045,HMDB0003935,bio/THIK_HUMAN,bio/HMDB0003935
HMDBP00045,HMDB0003937,bio/THIK_HUMAN,bio/HMDB0003937
HMDBP00045,HMDB0003939,bio/THIK_HUMAN,bio/HMDB0003939
HMDBP00045,HMDB0003943,bio/THIK_HUMAN,bio/HMDB0003943
HMDBP00045,HMDB0006292,bio/THIK_HUMAN,bio/HMDB0006292
HMDBP00045,HMDB0006513,bio/THIK_HUMAN,bio/HMDB0006513
HMDBP00045,HMDB0006891,bio/THIK_HUMAN,bio/HMDB0006891
HMDBP00045,HMDB0006896,bio/THIK_HUMAN,bio/HMDB0006896
HMDBP00045,HMDB0006897,bio/THIK_HUMAN,bio/HMDB0006897
HMDBP00045,HMDB0060378,bio/THIK_HUMAN,bio/HMDB0060378
HMDBP00045,HMDB0011114,bio/THIK_HUMAN,bio/HMDB0011114
HMDBP00045,HMDB0060377,bio/THIK_HUMAN,bio/HMDB0060377
HMDBP00045,HMDB0011113,bio/THIK_HUMAN,bio/HMDB0011113
HMDBP00045,HMDB0060376,bio/THIK_HUMAN,bio/HMDB0060376
HMDBP00045,HMDB0060298,bio/THIK_HUMAN,bio/HMDB0060298
HMDBP00045,HMDB0060375,bio/THIK_HUMAN,bio/HMDB0060375
HMDBP00045,HMDB0060198,bio/THIK_HUMAN,bio/HMDB0060198
HMDBP00045,HMDB0060313,bio/THIK_HUMAN,bio/HMDB0060313
HMDBP00045,HMDB0060315,bio/THIK_HUMAN,bio/HMDB0060315
HMDBP00046,HMDB0000243,bio/ODPA_HUMAN,bio/CHEMBL1162144
HMDBP00046,HMDB0003904,bio/ODPA_HUMAN,bio/HMDB0003904
HMDBP00046,HMDB0000962,bio/ODPA_HUMAN,bio/CHEMBL1403899
HMDBP00046,HMDB0001526,bio/ODPA_HUMAN,bio/HMDB0001526
HMDBP00046,HMDB0001372,bio/ODPA_HUMAN,bio/CHEMBL1236376
HMDBP00046,HMDB0000005,bio/ODPA_HUMAN,bio/CHEMBL171246
HMDBP00046,HMDB0000019,bio/ODPA_HUMAN,bio/CHEMBL146554
HMDBP00046,HMDB0000902,bio/ODPA_HUMAN,bio/CHEMBL3039307
HMDBP00046,HMDB0001206,bio/ODPA_HUMAN,bio/HMDB0001206
HMDBP00046,HMDB0001423,bio/ODPA_HUMAN,bio/CHEMBL1623949
HMDBP00046,HMDB0001487,bio/ODPA_HUMAN,bio/CHEMBL1234616
HMDBP00046,HMDB0001967,bio/ODPA_HUMAN,bio/CHEMBL1231871
HMDBP00046,HMDB0006878,bio/ODPA_HUMAN,bio/HMDB0006878
HMDBP00047,HMDB0001175,bio/ACACA_HUMAN,bio/CHEMBL1234355
HMDBP00047,HMDB0001206,bio/ACACA_HUMAN,bio/HMDB0001206
HMDBP00047,HMDB0001333,bio/ACACA_HUMAN,bio/HMDB0001333
HMDBP00047,HMDB0000030,bio/ACACA_HUMAN,bio/CHEMBL857
HMDBP00047,HMDB0000538,bio/ACACA_HUMAN,bio/CHEMBL14249
HMDBP00047,HMDB0001341,bio/ACACA_HUMAN,bio/CHEMBL14830
HMDBP00047,HMDB0001429,bio/ACACA_HUMAN,bio/CHEMBL1187
HMDBP00047,HMDB0000595,bio/ACACA_HUMAN,bio/CHEMBL1161632
HMDBP00048,HMDB0001022,bio/ECHB_HUMAN,bio/HMDB0001022
HMDBP00048,HMDB0001070,bio/ECHB_HUMAN,bio/CHEMBL1949896
HMDBP00048,HMDB0001157,bio/ECHB_HUMAN,bio/HMDB0001157
HMDBP00048,HMDB0001206,bio/ECHB_HUMAN,bio/HMDB0001206
HMDBP00048,HMDB0001275,bio/ECHB_HUMAN,bio/HMDB0001275
HMDBP00048,HMDB0001374,bio/ECHB_HUMAN,bio/HMDB0001374
HMDBP00048,HMDB0001423,bio/ECHB_HUMAN,bio/CHEMBL1623949
HMDBP00048,HMDB0001484,bio/ECHB_HUMAN,bio/HMDB0001484
HMDBP00048,HMDB0001493,bio/ECHB_HUMAN,bio/HMDB0001493
HMDBP00048,HMDB0001521,bio/ECHB_HUMAN,bio/CHEMBL1949899
HMDBP00048,HMDB0002159,bio/ECHB_HUMAN,bio/HMDB0002159
HMDBP00048,HMDB0002252,bio/ECHB_HUMAN,bio/HMDB0002252
HMDBP00048,HMDB0003571,bio/ECHB_HUMAN,bio/CHEMBL1949898
HMDBP00048,HMDB0003935,bio/ECHB_HUMAN,bio/HMDB0003935
HMDBP00048,HMDB0003937,bio/ECHB_HUMAN,bio/HMDB0003937
HMDBP00048,HMDB0003939,bio/ECHB_HUMAN,bio/HMDB0003939
HMDBP00048,HMDB0003941,bio/ECHB_HUMAN,bio/HMDB0003941
HMDBP00048,HMDB0003943,bio/ECHB_HUMAN,bio/HMDB0003943
HMDBP00048,HMDB0006292,bio/ECHB_HUMAN,bio/HMDB0006292
HMDBP00048,HMDB0006402,bio/ECHB_HUMAN,bio/HMDB0006402
HMDBP00048,HMDB0006404,bio/ECHB_HUMAN,bio/CHEMBL1949897
HMDBP00048,HMDB0006513,bio/ECHB_HUMAN,bio/HMDB0006513
HMDBP00048,HMDB0006891,bio/ECHB_HUMAN,bio/HMDB0006891
HMDBP00048,HMDB0006896,bio/ECHB_HUMAN,bio/HMDB0006896
HMDBP00048,HMDB0006897,bio/ECHB_HUMAN,bio/HMDB0006897
HMDBP00048,HMDB0001338,bio/ECHB_HUMAN,bio/CHEMBL3904487
HMDBP00048,HMDB0006497,bio/ECHB_HUMAN,bio/HMDB0006497
HMDBP00048,HMDB0001114,bio/ECHB_HUMAN,bio/HMDB0001114
HMDBP00048,HMDB0004258,bio/ECHB_HUMAN,bio/HMDB0004258
HMDBP00048,HMDB0001088,bio/ECHB_HUMAN,bio/CHEMBL1949894
HMDBP00048,HMDB0013037,bio/ECHB_HUMAN,bio/HMDB0013037
HMDBP00048,HMDB0012969,bio/ECHB_HUMAN,bio/HMDB0012969
HMDBP00048,HMDB0013028,bio/ECHB_HUMAN,bio/HMDB0013028
HMDBP00048,HMDB0013114,bio/ECHB_HUMAN,bio/HMDB0013114
HMDBP00048,HMDB0006526,bio/ECHB_HUMAN,bio/HMDB0006526
HMDBP00048,HMDB0002009,bio/ECHB_HUMAN,bio/HMDB0002009
HMDBP00048,HMDB0001290,bio/ECHB_HUMAN,bio/HMDB0001290
HMDBP00048,HMDB0003944,bio/ECHB_HUMAN,bio/HMDB0003944
HMDBP00048,HMDB0003949,bio/ECHB_HUMAN,bio/HMDB0003949
HMDBP00048,HMDB0003948,bio/ECHB_HUMAN,bio/HMDB0003948
HMDBP00048,HMDB0003946,bio/ECHB_HUMAN,bio/HMDB0003946
HMDBP00048,HMDB0004257,bio/ECHB_HUMAN,bio/HMDB0004257
HMDBP00048,HMDB0003712,bio/ECHB_HUMAN,bio/HMDB0003712
HMDBP00048,HMDB0001243,bio/ECHB_HUMAN,bio/HMDB0001243
HMDBP00048,HMDB0011660,bio/ECHB_HUMAN,bio/HMDB0011660
HMDBP00048,HMDB0001113,bio/ECHB_HUMAN,bio/HMDB0001113
HMDBP00048,HMDB0002057,bio/ECHB_HUMAN,bio/HMDB0002057
HMDBP00048,HMDB0001041,bio/ECHB_HUMAN,bio/HMDB0001041
HMDBP00048,HMDB0002307,bio/ECHB_HUMAN,bio/HMDB0002307
HMDBP00048,HMDB0003945,bio/ECHB_HUMAN,bio/HMDB0003945
HMDBP00048,HMDB0006529,bio/ECHB_HUMAN,bio/HMDB0006529
HMDBP00048,HMDB0002845,bio/ECHB_HUMAN,bio/CHEMBL1949895
HMDBP00048,HMDB0012475,bio/ECHB_HUMAN,bio/HMDB0012475
HMDBP00048,HMDB0060378,bio/ECHB_HUMAN,bio/HMDB0060378
HMDBP00049,HMDB0000123,bio/KBL_HUMAN,bio/CHEMBL773
HMDBP00049,HMDB0006454,bio/KBL_HUMAN,bio/HMDB0006454
HMDBP00049,HMDB0001491,bio/KBL_HUMAN,bio/CHEMBL82202
HMDBP00049,HMDB0001206,bio/KBL_HUMAN,bio/HMDB0001206
HMDBP00049,HMDB0001423,bio/KBL_HUMAN,bio/CHEMBL1623949
HMDBP00050,HMDB0001372,bio/ODPAT_HUMAN,bio/CHEMBL1236376
HMDBP00050,HMDB0000005,bio/ODPAT_HUMAN,bio/CHEMBL171246
HMDBP00050,HMDB0000019,bio/ODPAT_HUMAN,bio/CHEMBL146554
HMDBP00050,HMDB0000243,bio/ODPAT_HUMAN,bio/CHEMBL1162144
HMDBP00050,HMDB0000902,bio/ODPAT_HUMAN,bio/CHEMBL3039307
HMDBP00050,HMDB0001206,bio/ODPAT_HUMAN,bio/HMDB0001206
HMDBP00050,HMDB0001423,bio/ODPAT_HUMAN,bio/CHEMBL1623949
HMDBP00050,HMDB0001487,bio/ODPAT_HUMAN,bio/CHEMBL1234616
HMDBP00050,HMDB0001967,bio/ODPAT_HUMAN,bio/CHEMBL1231871
HMDBP00050,HMDB0003904,bio/ODPAT_HUMAN,bio/HMDB0003904
HMDBP00050,HMDB0006878,bio/ODPAT_HUMAN,bio/HMDB0006878
HMDBP00051,HMDB0011111,bio/MMSA_HUMAN,bio/HMDB0011111
HMDBP00051,HMDB0001206,bio/MMSA_HUMAN,bio/HMDB0001206
HMDBP00051,HMDB0001275,bio/MMSA_HUMAN,bio/HMDB0001275
HMDBP00051,HMDB0002217,bio/MMSA_HUMAN,bio/HMDB0002217
HMDBP00051,HMDB0000902,bio/MMSA_HUMAN,bio/CHEMBL3039307
HMDBP00051,HMDB0001487,bio/MMSA_HUMAN,bio/CHEMBL1234616
HMDBP00051,HMDB0001338,bio/MMSA_HUMAN,bio/CHEMBL3904487
HMDBP00051,HMDB0006497,bio/MMSA_HUMAN,bio/HMDB0006497
HMDBP00051,HMDB0001114,bio/MMSA_HUMAN,bio/HMDB0001114
HMDBP00051,HMDB0004258,bio/MMSA_HUMAN,bio/HMDB0004258
HMDBP00051,HMDB0001088,bio/MMSA_HUMAN,bio/CHEMBL1949894
HMDBP00051,HMDB0013037,bio/MMSA_HUMAN,bio/HMDB0013037
HMDBP00051,HMDB0012969,bio/MMSA_HUMAN,bio/HMDB0012969
HMDBP00051,HMDB0001070,bio/MMSA_HUMAN,bio/CHEMBL1949896
HMDBP00051,HMDB0013028,bio/MMSA_HUMAN,bio/HMDB0013028
HMDBP00051,HMDB0006404,bio/MMSA_HUMAN,bio/CHEMBL1949897
HMDBP00051,HMDB0013114,bio/MMSA_HUMAN,bio/HMDB0013114
HMDBP00051,HMDB0003571,bio/MMSA_HUMAN,bio/CHEMBL1949898
HMDBP00051,HMDB0006526,bio/MMSA_HUMAN,bio/HMDB0006526
HMDBP00051,HMDB0002009,bio/MMSA_HUMAN,bio/HMDB0002009
HMDBP00051,HMDB0001290,bio/MMSA_HUMAN,bio/HMDB0001290
HMDBP00051,HMDB0003944,bio/MMSA_HUMAN,bio/HMDB0003944
HMDBP00051,HMDB0003949,bio/MMSA_HUMAN,bio/HMDB0003949
HMDBP00051,HMDB0003948,bio/MMSA_HUMAN,bio/HMDB0003948
HMDBP00051,HMDB0003946,bio/MMSA_HUMAN,bio/HMDB0003946
HMDBP00051,HMDB0004257,bio/MMSA_HUMAN,bio/HMDB0004257
HMDBP00051,HMDB0003712,bio/MMSA_HUMAN,bio/HMDB0003712
HMDBP00051,HMDB0001243,bio/MMSA_HUMAN,bio/HMDB0001243
HMDBP00051,HMDB0011660,bio/MMSA_HUMAN,bio/HMDB0011660
HMDBP00051,HMDB0001113,bio/MMSA_HUMAN,bio/HMDB0001113
HMDBP00051,HMDB0002057,bio/MMSA_HUMAN,bio/HMDB0002057
HMDBP00051,HMDB0001041,bio/MMSA_HUMAN,bio/HMDB0001041
HMDBP00051,HMDB0002307,bio/MMSA_HUMAN,bio/HMDB0002307
HMDBP00051,HMDB0003945,bio/MMSA_HUMAN,bio/HMDB0003945
HMDBP00051,HMDB0006529,bio/MMSA_HUMAN,bio/HMDB0006529
HMDBP00051,HMDB0002845,bio/MMSA_HUMAN,bio/CHEMBL1949895
HMDBP00051,HMDB0001172,bio/MMSA_HUMAN,bio/HMDB0001172
HMDBP00051,HMDB0001423,bio/MMSA_HUMAN,bio/CHEMBL1623949
HMDBP00051,HMDB0001967,bio/MMSA_HUMAN,bio/CHEMBL1231871
HMDBP00051,HMDB0002111,bio/MMSA_HUMAN,bio/CHEMBL1098659
HMDBP00051,HMDB0000595,bio/MMSA_HUMAN,bio/CHEMBL1161632
HMDBP00051,HMDB0059597,bio/MMSA_HUMAN,bio/HMDB0059597
HMDBP00051,HMDB0000217,bio/MMSA_HUMAN,bio/HMDB0000217
HMDBP00051,HMDB0000221,bio/MMSA_HUMAN,bio/CHEMBL407009
HMDBP00051,HMDB0001175,bio/MMSA_HUMAN,bio/CHEMBL1234355
HMDBP00051,HMDB0001269,bio/MMSA_HUMAN,bio/HMDB0001269
HMDBP00052,HMDB0001254,bio/GNA1_HUMAN,bio/CHEMBL3426569
HMDBP00052,HMDB0001062,bio/GNA1_HUMAN,bio/HMDB0001062
HMDBP00052,HMDB0001206,bio/GNA1_HUMAN,bio/HMDB0001206
HMDBP00052,HMDB0001423,bio/GNA1_HUMAN,bio/CHEMBL1623949
HMDBP00053,HMDB0001484,bio/HMCS1_HUMAN,bio/HMDB0001484
HMDBP00053,HMDB0001206,bio/HMCS1_HUMAN,bio/HMDB0001206
HMDBP00053,HMDB0001375,bio/HMCS1_HUMAN,bio/CHEMBL1794644
HMDBP00053,HMDB0001423,bio/HMCS1_HUMAN,bio/CHEMBL1623949
HMDBP00053,HMDB0002111,bio/HMCS1_HUMAN,bio/CHEMBL1098659
