id,name,compartment,chemicalFormula,bigg.metabolite,chebi,chembl,kegg.compound,metanetx.chemical,hmdb,pubchem.compound,lipidmaps,metabolite_dcid
m01589m,"""CL pool""",dcs:CellularCompartmentMitochondria,C13H16O17P2R4,clpn_hs,"""CHEBI:28494""",,,MNXM16535,,,LMGP12010000,bio/MNXM16535
m01590c,"""CMP""",dcs:CellularCompartmentCytosol,C9H12N3O8P,cmp,"""CHEBI:17361""",CHEMBL307679,C00055,MNXM31,HMDB0000095,6131,,bio/CHEMBL307679
m01590g,"""CMP""",dcs:CellularCompartmentGolgiApparatus,C9H12N3O8P,cmp,"""CHEBI:17361""",CHEMBL307679,C00055,MNXM31,HMDB0000095,6131,,bio/CHEMBL307679
m01590l,"""CMP""",dcs:CellularCompartmentLysosome,C9H12N3O8P,cmp,"""CHEBI:17361""",CHEMBL307679,C00055,MNXM31,HMDB0000095,6131,,bio/CHEMBL307679
m01590m,"""CMP""",dcs:CellularCompartmentMitochondria,C9H12N3O8P,cmp,"""CHEBI:17361""",CHEMBL307679,C00055,MNXM31,HMDB0000095,6131,,bio/CHEMBL307679
m01590n,"""CMP""",dcs:CellularCompartmentNucleus,C9H12N3O8P,cmp,"""CHEBI:17361""",CHEMBL307679,C00055,MNXM31,HMDB0000095,6131,,bio/CHEMBL307679
m01590r,"""CMP""",dcs:CellularCompartmentEndoplasmicReticulum,C9H12N3O8P,cmp,"""CHEBI:17361""",CHEMBL307679,C00055,MNXM31,HMDB0000095,6131,,bio/CHEMBL307679
m01590s,"""CMP""",dcs:CellularCompartmentExtracellular,C9H12N3O8P,cmp,"""CHEBI:17361""",CHEMBL307679,C00055,MNXM31,HMDB0000095,6131,,bio/CHEMBL307679
m01591c,"""CMP-2-aminoethylphosphonate""",dcs:CellularCompartmentCytosol,C11H19N4O10P2,cmp2amep,,,C05673,MNXM47346,HMDB0060067,440754,,bio/HMDB0060067
m01592c,"""CMP-N-acetylneuraminate""",dcs:CellularCompartmentCytosol,C20H29N4O16P,cmpacna,"""CHEBI:16556""",CHEMBL1234647,C00128,MNXM141,HMDB0001176,,,bio/CHEMBL1234647
