id,name,compartment,chemicalFormula,bigg.metabolite,chebi,chembl,kegg.compound,metanetx.chemical,hmdb,pubchem.compound,lipidmaps,metabolite_dcid
m01674c,"""dephospho-CoA""",dcs:CellularCompartmentCytosol,C21H33N7O13P2S,dpcoa,"""CHEBI:15468""",,C00882,MNXM481,HMDB0001373,444485,,bio/HMDB0001373
m01674l,"""dephospho-CoA""",dcs:CellularCompartmentLysosome,C21H33N7O13P2S,dpcoa,"""CHEBI:15468""",,C00882,MNXM481,HMDB0001373,444485,,bio/HMDB0001373
m01674m,"""dephospho-CoA""",dcs:CellularCompartmentMitochondria,C21H33N7O13P2S,dpcoa,"""CHEBI:15468""",,C00882,MNXM481,HMDB0001373,444485,,bio/HMDB0001373
m01675c,"""desmosterol""",dcs:CellularCompartmentCytosol,C27H44O,dsmsterol,"""CHEBI:17737""",CHEMBL455876,C01802,MNXM162959,HMDB0002719,439577,LMST01010016,bio/CHEMBL455876
m01676c,"""detyrosinated alpha-tubulin""",dcs:CellularCompartmentCytosol,C4H6N2O3R2,,,,C05234,MNXM17230,,,,bio/MNXM17230
m01677c,"""dextrin(n-1)""",dcs:CellularCompartmentCytosol,C12H22O11,,,,C00721,MNXM1003,HMDB0006857,,,bio/HMDB0006857
m01678c,"""dextrin""",dcs:CellularCompartmentCytosol,C18H32O16,,,,C00721,MNXM1003,HMDB0006857,,,bio/HMDB0006857
m01679c,"""D-galactosyl-N-acylsphingosine""",dcs:CellularCompartmentCytosol,C24H46NO7RCO,galside_hs,"""CHEBI:12947""",,C02686,MNXM5165,HMDB0010714,,,bio/HMDB0010714
m01679g,"""D-galactosyl-N-acylsphingosine""",dcs:CellularCompartmentGolgiApparatus,C24H46NO7RCO,galside_hs,"""CHEBI:12947""",,C02686,MNXM5165,HMDB0010714,,,bio/HMDB0010714
m01679l,"""D-galactosyl-N-acylsphingosine""",dcs:CellularCompartmentLysosome,C24H46NO7RCO,galside_hs,"""CHEBI:12947""",,C02686,MNXM5165,HMDB0010714,,,bio/HMDB0010714
m01679r,"""D-galactosyl-N-acylsphingosine""",dcs:CellularCompartmentEndoplasmicReticulum,C24H46NO7RCO,galside_hs,"""CHEBI:12947""",,C02686,MNXM5165,HMDB0010714,,,bio/HMDB0010714
m01680c,"""dGDP""",dcs:CellularCompartmentCytosol,C10H12N5O10P2,dgdp,"""CHEBI:28862""",CHEMBL1232205,C00361,MNXM436,HMDB0000960,439220,,bio/CHEMBL1232205
m01680m,"""dGDP""",dcs:CellularCompartmentMitochondria,C10H12N5O10P2,dgdp,"""CHEBI:28862""",CHEMBL1232205,C00361,MNXM436,HMDB0000960,439220,,bio/CHEMBL1232205
m01680n,"""dGDP""",dcs:CellularCompartmentNucleus,C10H12N5O10P2,dgdp,"""CHEBI:28862""",CHEMBL1232205,C00361,MNXM436,HMDB0000960,439220,,bio/CHEMBL1232205
m01681c,"""D-glucarate""",dcs:CellularCompartmentCytosol,C6H8O8,glcr,"""CHEBI:16002""",CHEMBL1794737,C00818,MNXM744,HMDB0000663,33037,,bio/CHEMBL1794737
m01682c,"""D-glucitol""",dcs:CellularCompartmentCytosol,C6H14O6,sbt__D,"""CHEBI:17924""",CHEMBL1682,C00794,MNXM469,HMDB0000247,5780,,bio/CHEMBL1682
m01682g,"""D-glucitol""",dcs:CellularCompartmentGolgiApparatus,C6H14O6,sbt__D,"""CHEBI:17924""",CHEMBL1682,C00794,MNXM469,HMDB0000247,5780,,bio/CHEMBL1682
m01682l,"""D-glucitol""",dcs:CellularCompartmentLysosome,C6H14O6,sbt__D,"""CHEBI:17924""",CHEMBL1682,C00794,MNXM469,HMDB0000247,5780,,bio/CHEMBL1682
m01682s,"""D-glucitol""",dcs:CellularCompartmentExtracellular,C6H14O6,sbt__D,"""CHEBI:17924""",CHEMBL1682,C00794,MNXM469,HMDB0000247,5780,,bio/CHEMBL1682
m01683c,"""D-gluconic acid""",dcs:CellularCompartmentCytosol,C6H11O7,,"""CHEBI:33198""",CHEMBL464345,C00257,MNXM341,HMDB0000625,10690,,bio/CHEMBL464345
m01684c,"""D-glucuronate 1-phosphate""",dcs:CellularCompartmentCytosol,C6H8O10P,glcur1p,"""CHEBI:35145""",,C05385,MNXM1165,HMDB0003976,440650,,bio/HMDB0003976
m01685c,"""D-glucurono-6,3-lactone""",dcs:CellularCompartmentCytosol,C6H8O6,glac,"""CHEBI:18268""",,C02670,MNXM162962,HMDB0006355,2724333,,bio/HMDB0006355
m01685r,"""D-glucurono-6,3-lactone""",dcs:CellularCompartmentEndoplasmicReticulum,C6H8O6,glac,"""CHEBI:18268""",,C02670,MNXM162962,HMDB0006355,2724333,,bio/HMDB0006355
m01686c,"""dGMP""",dcs:CellularCompartmentCytosol,C10H12N5O7P,dgmp,"""CHEBI:16192""",CHEMBL477487,C00362,MNXM546,HMDB0001044,65059,,bio/CHEMBL477487
m01686l,"""dGMP""",dcs:CellularCompartmentLysosome,C10H12N5O7P,dgmp,"""CHEBI:16192""",CHEMBL477487,C00362,MNXM546,HMDB0001044,65059,,bio/CHEMBL477487
m01686m,"""dGMP""",dcs:CellularCompartmentMitochondria,C10H12N5O7P,dgmp,"""CHEBI:16192""",CHEMBL477487,C00362,MNXM546,HMDB0001044,65059,,bio/CHEMBL477487
m01687r,"""dgpi_prot heparan sulfate""",dcs:CellularCompartmentEndoplasmicReticulum,C41H76N4O41P4R2X,dgpi_prot_hs,,,,MNXM17162,,,,bio/MNXM17162
m01687c,"""dgpi_prot heparan sulfate""",dcs:CellularCompartmentCytosol,C41H76N4O41P4R2X,dgpi_prot_hs,,,,MNXM17162,,,,bio/MNXM17162
m01687s,"""dgpi_prot heparan sulfate""",dcs:CellularCompartmentExtracellular,C41H76N4O41P4R2X,dgpi_prot_hs,,,,MNXM17162,,,,bio/MNXM17162
m01688c,"""dGTP""",dcs:CellularCompartmentCytosol,C10H12N5O13P3,dgtp,"""CHEBI:16497""",CHEMBL477486,C00286,MNXM344,HMDB0001440,65103,,bio/CHEMBL477486
m01688m,"""dGTP""",dcs:CellularCompartmentMitochondria,C10H12N5O13P3,dgtp,"""CHEBI:16497""",CHEMBL477486,C00286,MNXM344,HMDB0001440,65103,,bio/CHEMBL477486
m01688n,"""dGTP""",dcs:CellularCompartmentNucleus,C10H12N5O13P3,dgtp,"""CHEBI:16497""",CHEMBL477486,C00286,MNXM344,HMDB0001440,65103,,bio/CHEMBL477486
m01689c,"""DHA""",dcs:CellularCompartmentCytosol,C22H31O2,crvnc,"""CHEBI:28125""",CHEMBL367149,C06429,MNXM7161,HMDB0002183,445580,LMFA01030185,bio/CHEMBL367149
m01689l,"""DHA""",dcs:CellularCompartmentLysosome,C22H31O2,crvnc,"""CHEBI:28125""",CHEMBL367149,C06429,MNXM7161,HMDB0002183,445580,LMFA01030185,bio/CHEMBL367149
m01689r,"""DHA""",dcs:CellularCompartmentEndoplasmicReticulum,C22H31O2,crvnc,"""CHEBI:28125""",CHEMBL367149,C06429,MNXM7161,HMDB0002183,445580,LMFA01030185,bio/CHEMBL367149
m01689s,"""DHA""",dcs:CellularCompartmentExtracellular,C22H31O2,crvnc,"""CHEBI:28125""",CHEMBL367149,C06429,MNXM7161,HMDB0002183,445580,LMFA01030185,bio/CHEMBL367149
