reactionID,metabolic_compartment_dcid
bio/HMR_6978,bio/m02039c
bio/HMR_6981,bio/m02039c
bio/HMR_6984,bio/m02039c
bio/HMR_6985,bio/m02039c
bio/HMR_4250,bio/m02039c
bio/HMR_8092,bio/m02039c
bio/HMR_4682,bio/m02039c
bio/HMR_4683,bio/m02039c
bio/HMR_4703,bio/m02039c
bio/HMR_4704,bio/m02039c
bio/HMR_7689,bio/m02039c
bio/HMR_8094,bio/m02039c
bio/HMR_8529,bio/m02039c
bio/HMR_8530,bio/m02039c
bio/HMR_8534,bio/m02039c
bio/HMR_8535,bio/m02039c
bio/HMR_8543,bio/m02039c
bio/HMR_8544,bio/m02039c
bio/HMR_4797,bio/m02039c
bio/HMR_4216,bio/m02039c
bio/HMR_4218,bio/m02039c
bio/HMR_4219,bio/m02039c
bio/HMR_4220,bio/m02039c
bio/HMR_4224,bio/m02039c
bio/HMR_4227,bio/m02039c
bio/HMR_4232,bio/m02039c
bio/HMR_4233,bio/m02039c
bio/HMR_6710,bio/m02039c
bio/HMR_6711,bio/m02039c
bio/HMR_6713,bio/m02039c
bio/HMR_6714,bio/m02039c
bio/HMR_6717,bio/m02039c
bio/HMR_6719,bio/m02039c
bio/HMR_6730,bio/m02039c
bio/HMR_6735,bio/m02039c
bio/HMR_6736,bio/m02039c
bio/HMR_6737,bio/m02039c
bio/HMR_6739,bio/m02039c
bio/HMR_6740,bio/m02039c
bio/HMR_6743,bio/m02039c
bio/HMR_6746,bio/m02039c
bio/HMR_6748,bio/m02039c
bio/HMR_6749,bio/m02039c
bio/HMR_6750,bio/m02039c
bio/HMR_6751,bio/m02039c
bio/HMR_6752,bio/m02039c
bio/HMR_6753,bio/m02039c
bio/HMR_6754,bio/m02039c
bio/HMR_6755,bio/m02039c
bio/HMR_6757,bio/m02039c
bio/HMR_6758,bio/m02039c
bio/HMR_6760,bio/m02039c
bio/HMR_6761,bio/m02039c
bio/HMR_6762,bio/m02039c
bio/HMR_6763,bio/m02039c
bio/HMR_6764,bio/m02039c
bio/HMR_6766,bio/m02039c
bio/HMR_6767,bio/m02039c
bio/HMR_6770,bio/m02039c
bio/HMR_6774,bio/m02039c
bio/HMR_6778,bio/m02039c
bio/HMR_6785,bio/m02039c
bio/HMR_6786,bio/m02039c
bio/HMR_6788,bio/m02039c
bio/HMR_6789,bio/m02039c
bio/HMR_6790,bio/m02039c
bio/HMR_6791,bio/m02039c
bio/HMR_6802,bio/m02039c
bio/HMR_6813,bio/m02039c
bio/HMR_6818,bio/m02039c
bio/HMR_6822,bio/m02039c
bio/HMR_6828,bio/m02039c
bio/HMR_6829,bio/m02039c
bio/HMR_6831,bio/m02039c
bio/HMR_6838,bio/m02039c
bio/HMR_6839,bio/m02039c
bio/HMR_6844,bio/m02039c
bio/HMR_6845,bio/m02039c
bio/HMR_6850,bio/m02039c
bio/HMR_6851,bio/m02039c
bio/HMR_6881,bio/m02039c
bio/HMR_6885,bio/m02039c
bio/HMR_7756,bio/m02039c
bio/HMR_3881,bio/m02039c
bio/HMR_3917,bio/m02039c
bio/HMR_3920,bio/m02039c
bio/HMR_4072,bio/m02039c
bio/HMR_4302,bio/m02039c
bio/HMR_5381,bio/m02039c
bio/HMR_5388,bio/m02039c
bio/HMR_5389,bio/m02039c
bio/HMR_5390,bio/m02039c
bio/HMR_6518,bio/m02039c
bio/HMR_6519,bio/m02039c
bio/HMR_8068,bio/m02039c
bio/HMR_8683,bio/m02039c
bio/HMR_8685,bio/m02039c
bio/HMR_3889,bio/m02039c
bio/HMR_3937,bio/m02039c
bio/HMR_4324,bio/m02039c
bio/HMR_4326,bio/m02039c
bio/HMR_8771,bio/m02039c
bio/HMR_4079,bio/m02039c
bio/HMR_4425,bio/m02039c
bio/HMR_4689,bio/m02039c
bio/HMR_7992,bio/m02039c
bio/HMR_7993,bio/m02039c
bio/HMR_7129,bio/m02039c
bio/HMR_7130,bio/m02039c
bio/HMR_7134,bio/m02039c
bio/HMR_7137,bio/m02039c
bio/HMR_7141,bio/m02039c
bio/HMR_3790,bio/m02039c
bio/HMR_4299,bio/m02039c
bio/HMR_4494,bio/m02039c
bio/HMR_4524,bio/m02039c
bio/HMR_4526,bio/m02039c
bio/HMR_4528,bio/m02039c
bio/HMR_4533,bio/m02039c
bio/HMR_4534,bio/m02039c
bio/HMR_4628,bio/m02039c
bio/HMR_8366,bio/m02039c
bio/HMR_8367,bio/m02039c
bio/HMR_7256,bio/m02039c
bio/HMR_7258,bio/m02039c
bio/HMR_7263,bio/m02039c
bio/HMR_7265,bio/m02039c
bio/HMR_7266,bio/m02039c
bio/HMR_7267,bio/m02039c
bio/HMR_7268,bio/m02039c
bio/HMR_7269,bio/m02039c
bio/HMR_7270,bio/m02039c
bio/HMR_5151,bio/m02039c
bio/HMR_5152,bio/m02039c
bio/HMR_5153,bio/m02039c
bio/HMR_5154,bio/m02039c
bio/HMR_5155,bio/m02039c
bio/HMR_5156,bio/m02039c
bio/HMR_5157,bio/m02039c
bio/HMR_5158,bio/m02039c
bio/HMR_5159,bio/m02039c
bio/HMR_5160,bio/m02039c
bio/HMR_5161,bio/m02039c
bio/HMR_5162,bio/m02039c
bio/HMR_5163,bio/m02039c
bio/HMR_5164,bio/m02039c
bio/HMR_5165,bio/m02039c
bio/HMR_5166,bio/m02039c
bio/HMR_5167,bio/m02039c
bio/HMR_5168,bio/m02039c
bio/HMR_5169,bio/m02039c
bio/HMR_5170,bio/m02039c
bio/HMR_5171,bio/m02039c
bio/HMR_5172,bio/m02039c
bio/HMR_5173,bio/m02039c
bio/HMR_5174,bio/m02039c
bio/HMR_7617,bio/m02039c
bio/HMR_7619,bio/m02039c
bio/HMR_5258,bio/m02039c
bio/HMR_5259,bio/m02039c
bio/HMR_5260,bio/m02039c
bio/HMR_5262,bio/m02039c
bio/HMR_5264,bio/m02039c
bio/HMR_5266,bio/m02039c
bio/HMR_5268,bio/m02039c
bio/HMR_5269,bio/m02039c
bio/HMR_5270,bio/m02039c
bio/HMR_5271,bio/m02039c
bio/HMR_5273,bio/m02039c
bio/HMR_5275,bio/m02039c
bio/HMR_5277,bio/m02039c
bio/HMR_5279,bio/m02039c
bio/HMR_5281,bio/m02039c
bio/HMR_5283,bio/m02039c
bio/HMR_5288,bio/m02039c
bio/HMR_9817,bio/m02039c
bio/HMR_9818,bio/m02039c
bio/HMR_3851,bio/m02039c
bio/HMR_4840,bio/m02039c
bio/HMR_8772,bio/m02039c
bio/HMR_8775,bio/m02039c
bio/HMR_8780,bio/m02039c
bio/HMR_8781,bio/m02039c
bio/HMR_3977,bio/m02039c
bio/HMR_4156,bio/m02039c
bio/HMR_2172,bio/m02039c
bio/HMR_2177,bio/m02039c
bio/HMR_2182,bio/m02039c
bio/HMR_2248,bio/m02039c
bio/HMR_2253,bio/m02039c
bio/HMR_2258,bio/m02039c
bio/HMR_2447,bio/m02039c
bio/HMR_2451,bio/m02039c
bio/HMR_2452,bio/m02039c
bio/HMR_2461,bio/m02039c
bio/HMR_2467,bio/m02039c
bio/HMR_2469,bio/m02039c
bio/HMR_6399,bio/m02039c
bio/HMR_2545,bio/m02039c
bio/HMR_2546,bio/m02039c
bio/HMR_2559,bio/m02039c
bio/HMR_2560,bio/m02039c
bio/HMR_0973,bio/m02039c
bio/HMR_0980,bio/m02039c
bio/HMR_0989,bio/m02039c
bio/HMR_0990,bio/m02039c
bio/HMR_1040,bio/m02039c
bio/HMR_1066,bio/m02039c
bio/HMR_1069,bio/m02039c
bio/HMR_1093,bio/m02039c
bio/HMR_1098,bio/m02039c
bio/HMR_1100,bio/m02039c
bio/HMR_1116,bio/m02039c
bio/HMR_1123,bio/m02039c
bio/HMR_1129,bio/m02039c
bio/HMR_1197,bio/m02039c
bio/HMR_1241,bio/m02039c
bio/HMR_1244,bio/m02039c
bio/HMR_1280,bio/m02039c
bio/HMR_0154,bio/m02039c
bio/HMR_0189,bio/m02039c
bio/HMR_0193,bio/m02039c
bio/HMR_0197,bio/m02039c
bio/HMR_0201,bio/m02039c
bio/HMR_0206,bio/m02039c
bio/HMR_0210,bio/m02039c
bio/HMR_0214,bio/m02039c
bio/HMR_0223,bio/m02039c
bio/HMR_0230,bio/m02039c
bio/HMR_0234,bio/m02039c
bio/HMR_0238,bio/m02039c
bio/HMR_0242,bio/m02039c
bio/HMR_0246,bio/m02039c
bio/HMR_0250,bio/m02039c
bio/HMR_0256,bio/m02039c
bio/HMR_0260,bio/m02039c
bio/HMR_0264,bio/m02039c
bio/HMR_0268,bio/m02039c
bio/HMR_0272,bio/m02039c
bio/HMR_0276,bio/m02039c
bio/HMR_0280,bio/m02039c
bio/HMR_0284,bio/m02039c
bio/HMR_0290,bio/m02039c
bio/HMR_0294,bio/m02039c
bio/HMR_0298,bio/m02039c
bio/HMR_0302,bio/m02039c
bio/HMR_0306,bio/m02039c
bio/HMR_0310,bio/m02039c
bio/HMR_0314,bio/m02039c
bio/HMR_0320,bio/m02039c
bio/HMR_0324,bio/m02039c
bio/HMR_0328,bio/m02039c
bio/HMR_0332,bio/m02039c
bio/HMR_0338,bio/m02039c
bio/HMR_0342,bio/m02039c
bio/HMR_0346,bio/m02039c
bio/HMR_0350,bio/m02039c
bio/HMR_0354,bio/m02039c
bio/HMR_0358,bio/m02039c
bio/HMR_0362,bio/m02039c
bio/HMR_0366,bio/m02039c
bio/HMR_0370,bio/m02039c
bio/HMR_0374,bio/m02039c
bio/HMR_0378,bio/m02039c
bio/HMR_0382,bio/m02039c
bio/HMR_0386,bio/m02039c
bio/HMR_0390,bio/m02039c
bio/HMR_0394,bio/m02039c
bio/HMR_0398,bio/m02039c
bio/HMR_0402,bio/m02039c
bio/HMR_0406,bio/m02039c
bio/HMR_0410,bio/m02039c
bio/HMR_0414,bio/m02039c
bio/HMR_0418,bio/m02039c
bio/HMR_0422,bio/m02039c
bio/HMR_0426,bio/m02039c
bio/HMR_0430,bio/m02039c
bio/HMR_0434,bio/m02039c
bio/HMR_0438,bio/m02039c
bio/HMR_3477,bio/m02039c
bio/HMR_2771,bio/m02039c
bio/HMR_0604,bio/m02039c
bio/HMR_0665,bio/m02039c
bio/HMR_0667,bio/m02039c
bio/HMR_0668,bio/m02039c
bio/HMR_0669,bio/m02039c
bio/HMR_0670,bio/m02039c
bio/HMR_0671,bio/m02039c
bio/HMR_0672,bio/m02039c
bio/HMR_0679,bio/m02039c
bio/HMR_0680,bio/m02039c
bio/HMR_0681,bio/m02039c
bio/HMR_0682,bio/m02039c
bio/HMR_0683,bio/m02039c
bio/HMR_0684,bio/m02039c
bio/HMR_1920,bio/m02039c
bio/HMR_1941,bio/m02039c
bio/HMR_1949,bio/m02039c
bio/HMR_1951,bio/m02039c
bio/HMR_1990,bio/m02039c
bio/HMR_1991,bio/m02039c
bio/HMR_2002,bio/m02039c
bio/HMR_2003,bio/m02039c
bio/HMR_6793,bio/m02039c
bio/HMR_6794,bio/m02039c
bio/HMR_7930,bio/m02039c
bio/HMR_7973,bio/m02039c
bio/HMR_7974,bio/m02039c
bio/HMR_7978,bio/m02039c
bio/HMR_1952,bio/m02039c
bio/HMR_1953,bio/m02039c
bio/HMR_1962,bio/m02039c
bio/HMR_1963,bio/m02039c
bio/HMR_1967,bio/m02039c
bio/HMR_1969,bio/m02039c
bio/HMR_1982,bio/m02039c
bio/HMR_2020,bio/m02039c
bio/HMR_2022,bio/m02039c
bio/HMR_1445,bio/m02039c
bio/HMR_1495,bio/m02039c
bio/HMR_1496,bio/m02039c
bio/HMR_1505,bio/m02039c
bio/HMR_1546,bio/m02039c
bio/HMR_1551,bio/m02039c
bio/HMR_1437,bio/m02039c
bio/HMR_2037,bio/m02039c
bio/HMR_2038,bio/m02039c
bio/HMR_2045,bio/m02039c
bio/HMR_2048,bio/m02039c
bio/HMR_2052,bio/m02039c
bio/HMR_2058,bio/m02039c
bio/HMR_2064,bio/m02039c
bio/HMR_2079,bio/m02039c
bio/HMR_2099,bio/m02039c
bio/HMR_2102,bio/m02039c
bio/HMR_0744,bio/m02039c
